     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     16785,       522,         0,  7891.4,bposd_owd_176_X,2ad99840143c3d04f7cd93952f358f2cbf02587e58ace514be16c73d9b61a849,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.0015,""pauli"":""X"",""rounds"":16,""window"":3}",
      3535,       541,         0,  4293.8,bposd_owd_176_X,c9ed3e209e7fc16d253c6d21de0e4d470ab7ef26a6a9055d786bf9ce24ed45ae,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.002,""pauli"":""X"",""rounds"":16,""window"":3}",
       668,       536,         0,  6017.7,bposd_owd_176_X,47b4fdbed6893a04e0195a57c170026f7fe17f40c5150b9524ce039341244e45,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.003,""pauli"":""X"",""rounds"":16,""window"":3}",
       505,       503,         0, 11773.8,bposd_owd_176_X,cd342eebe6821ab06d78695c982bc771b8b1e664eda7b54b3885c008a0672ea0,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.004,""pauli"":""X"",""rounds"":16,""window"":3}",
    996094,        76,         0,632548.1,bposd_owd_176_X,a4908c14b122fb27a74d8abe87bbad1784e6a44efbfca5f75e7cabe4a87d3d49,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":30,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.001,""pauli"":""X"",""rounds"":16,""window"":3}",
    288605,       504,         0,212013.1,bposd_owd_176_X,993e4267471a12cb69b7ab6c5ac921d704de4788724a34f4b121f7ab74c60646,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":30,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.0015,""pauli"":""X"",""rounds"":16,""window"":3}",
     24870,       511,         0, 19506.0,bposd_owd_176_X,c359608697a17f10761259cbddbdb948c16a1ceab927e9585509443696668af8,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":30,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.002,""pauli"":""X"",""rounds"":16,""window"":3}",
      1860,       618,         0,  5262.1,bposd_owd_176_X,edbea92490754d011eb8b0eee6a958cdc803447b822c4b3acafd950b62a233c7,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":30,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.003,""pauli"":""X"",""rounds"":16,""window"":3}",
       556,       520,         0,  8553.0,bposd_owd_176_X,f165dc41f74401a95e0165bf46697afa1ab71136c20c74c723191e2b03a2fdd6,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":30,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.004,""pauli"":""X"",""rounds"":16,""window"":3}",
    996070,        24,         0,730100.3,bposd_owd_176_X,6d29c601e141e1fa24c7c9b660c15b7ac499d3a6ee687cfd819db5a16d1408da,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":50,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.001,""pauli"":""X"",""rounds"":16,""window"":3}",
