     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
    106885,         0,         0,671557.9,bposd_owd_176_X,b1d22ec924c077fad36a38175ce1fab1a574302db072bd9abb8315778f482b39,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.0005,""pauli"":""X"",""rounds"":16,""window"":3}",
    117785,         0,         0,699093.6,bposd_owd_176_Z,c356a7127c12532d53512af2604859a69eaf9137ce891909badd432abae358af,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.0005,""pauli"":""Z"",""rounds"":16,""window"":3}",
    117440,         0,         0,686400.7,bposd_owd_176_X,e0607e6e897dc82244a2e09bab37ea49e2b9ce9f6717859ecc76f35814e85a9c,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.0008,""pauli"":""X"",""rounds"":16,""window"":3}",
    125891,         0,         0,725240.6,bposd_owd_176_Z,2f3f16d775240dfc3e8722e8afb178158e245829ea0d5f63cb40093b1338bd65,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.0008,""pauli"":""Z"",""rounds"":16,""window"":3}",
    598414,         1,         0,2886533.4,bposd_owd_176_X,31587b537cc7aed5f241fad2792794db16da604e9b42c842051fc8fa36ef9a13,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.001,""pauli"":""X"",""rounds"":16,""window"":3}",
    637715,         0,         0,3050955.7,bposd_owd_176_Z,b2c6b923fd87bab6f18bc7a6017d9f4b1db5bb0ae0dbede54856382ed7709e67,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.001,""pauli"":""Z"",""rounds"":16,""window"":3}",
    163728,         0,         0,713712.7,bposd_owd_176_X,8667a391b6fd510032b121554af977a9005953e5c60fae7fd81274240713ec33,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.00125,""pauli"":""X"",""rounds"":16,""window"":3}",
    177840,         0,         0,738617.1,bposd_owd_176_Z,956ac963cd8078a5d29f07340c3579f543a7b818b751fea0acf49e2bfd12f4e9,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.00125,""pauli"":""Z"",""rounds"":16,""window"":3}",
    765024,        30,         0,2940155.5,bposd_owd_176_X,16085349a7de43caf87fdf26b10f15f1f4eb6b3c3aefc75f583f059bdaceb8c7,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.0015,""pauli"":""X"",""rounds"":16,""window"":3}",
    855734,        14,         0,3119317.1,bposd_owd_176_Z,c623e34adaff99f5e260aa9e9ba85344aa3242e2790cab13d54ec25266ea8903,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_cs"",""osd_order"":4,""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.0015,""pauli"":""Z"",""rounds"":16,""window"":3}",
